location,animal,user,sn,an,datatype,start,end,startreason,endreason,entct,inact,inadur,inadist,smlct,smldur,smldist,larct,lardur,lardist,emptyct,emptydur,stdate,sttime
c056,E08,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c056,E08,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c057,E09,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c057,E09,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c058,E10,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c058,E10,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c059,E11,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c059,E11,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c060,E12,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:54
c060,E12,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:54
c061,F01,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:55
c061,F01,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:55
c062,F02,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:55
c062,F02,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:55
c063,F03,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:55
c063,F03,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:55
c064,F04,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:55
c064,F04,BIO-S062\ViewpointUser,1,1,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2018,14:04:55
c065,F05,BIO-S062\ViewpointUser,1,0,trackerr,0,1,End of period,End of period,0,0,0,0,0,0,0,0,0,0,1,1,8/2/2018,14:04:55
